disease_id,crop,disease_name,pathogen_type,symptoms,favorable_conditions,low_risk_advisory,medium_risk_advisory,high_risk_advisory,expert_advisory,preventive_measures,organic_treatment,chemical_treatment
1,Wheat,Karnal Bunt,fungal_smut,"Partial bunting of grains, fishy odor, black powdery mass in grains","Cool moist weather during flowering, high humidity at anthesis",Conditions currently show low risk for Karnal Bunt in Wheat. Continue using certified disease-free seed for future planting.,Some risk of Karnal Bunt in Wheat under current conditions. Rogue out and destroy any smutted heads/grains you notice before spores spread.,"High risk of Karnal Bunt spread in Wheat. Remove and safely destroy all infected plant parts before spore release, and treat seed with a recommended fungicide before the next sowing.","For recurring smut problems in Wheat across seasons, consult an agricultural extension officer about seed treatment protocols and resistant varieties.",Seed treatment with a recommended fungicide before sowing is the single most effective preventive step for smut diseases.,Hot water seed treatment and Trichoderma-based seed coating are commonly used organic alternatives to chemical seed dressing.,"A systemic seed-dressing fungicide applied before sowing, as per local extension recommendation, substantially reduces smut incidence."
2,Wheat,Spot Blotch,fungal_blight,"Dark brown spots on leaves, premature drying","Warm humid conditions, 25-30C with high humidity",Conditions are not currently favorable for Spot Blotch to spread significantly in Wheat. Continue routine field walks weekly and remove any visibly infected plant debris.,"Weather conditions have started favoring Spot Blotch in Wheat. Improve field drainage and airflow, avoid overhead irrigation, and remove and destroy infected plant parts. Monitor daily.","Conditions are strongly favorable for rapid spread of Spot Blotch in Wheat. Apply a recommended fungicide as per local agricultural extension guidance without delay, isolate severely affected plants, and consult your nearest Krishi Vigyan Kendra or agricultural officer.",Persistent or worsening Spot Blotch symptoms in Wheat despite treatment should be reported to a plant pathologist or agricultural extension officer for lab confirmation and updated management advice.,"Use certified disease-free planting material, maintain field sanitation, rotate crops where possible, and avoid dense planting to keep canopy airflow open.","Neem-based sprays, Trichoderma-based bio-fungicides, and copper-based organic fungicides can help suppress early infection when used preventively.",A recommended contact or systemic fungicide (as approved by local extension services) applied at the first sign of symptoms is generally more effective than after severe spread.
3,Wheat,Head Blight (Scab),fungal_blight,"Bleached spikelets, pink/orange fungal growth on heads","Wet weather during flowering, high humidity",Conditions are not currently favorable for Head Blight (Scab) to spread significantly in Wheat. Continue routine field walks weekly and remove any visibly infected plant debris.,"Weather conditions have started favoring Head Blight (Scab) in Wheat. Improve field drainage and airflow, avoid overhead irrigation, and remove and destroy infected plant parts. Monitor daily.","Conditions are strongly favorable for rapid spread of Head Blight (Scab) in Wheat. Apply a recommended fungicide as per local agricultural extension guidance without delay, isolate severely affected plants, and consult your nearest Krishi Vigyan Kendra or agricultural officer.",Persistent or worsening Head Blight (Scab) symptoms in Wheat despite treatment should be reported to a plant pathologist or agricultural extension officer for lab confirmation and updated management advice.,"Use certified disease-free planting material, maintain field sanitation, rotate crops where possible, and avoid dense planting to keep canopy airflow open.","Neem-based sprays, Trichoderma-based bio-fungicides, and copper-based organic fungicides can help suppress early infection when used preventively.",A recommended contact or systemic fungicide (as approved by local extension services) applied at the first sign of symptoms is generally more effective than after severe spread.
4,Wheat,Leaf Rust,fungal_rust,Orange-brown pustules on leaves,Moderate temperature 15-25C with dew/high humidity,"Rust-favorable conditions for Leaf Rust in Wheat are currently low. Keep monitoring leaves weekly, especially undersides.","Conditions are becoming favorable for Leaf Rust in Wheat. Inspect leaves closely for pustules, remove heavily infected leaves, and consider a preventive fungicide spray.","High risk of rapid Leaf Rust spread in Wheat. Apply recommended rust-specific fungicide immediately, and if using a susceptible variety, consult your local agricultural office about resistant varieties for the next season.","If pustule density increases rapidly across the Wheat field despite spraying, contact a plant pathologist to check for a new rust strain.","Grow rust-resistant varieties where available, avoid excess nitrogen application, and ensure adequate plant spacing for airflow.","Sulfur-based dusts and neem oil sprays can slow early rust development, though they are less effective once pustules are established.","A systemic triazole or strobilurin-based fungicide, as locally approved, is generally recommended once pustules are confirmed."
5,Wheat,Stem Rust,fungal_rust,Reddish-brown elongated pustules on stems,"Warm temperature 20-30C, high humidity, wind-borne spread","Rust-favorable conditions for Stem Rust in Wheat are currently low. Keep monitoring leaves weekly, especially undersides.","Conditions are becoming favorable for Stem Rust in Wheat. Inspect leaves closely for pustules, remove heavily infected leaves, and consider a preventive fungicide spray.","High risk of rapid Stem Rust spread in Wheat. Apply recommended rust-specific fungicide immediately, and if using a susceptible variety, consult your local agricultural office about resistant varieties for the next season.","If pustule density increases rapidly across the Wheat field despite spraying, contact a plant pathologist to check for a new rust strain.","Grow rust-resistant varieties where available, avoid excess nitrogen application, and ensure adequate plant spacing for airflow.","Sulfur-based dusts and neem oil sprays can slow early rust development, though they are less effective once pustules are established.","A systemic triazole or strobilurin-based fungicide, as locally approved, is generally recommended once pustules are confirmed."
6,Wheat,Stripe/Yellow Rust,fungal_rust,Yellow stripes of pustules on leaves,"Cool temperature 10-20C, high humidity","Rust-favorable conditions for Stripe/Yellow Rust in Wheat are currently low. Keep monitoring leaves weekly, especially undersides.","Conditions are becoming favorable for Stripe/Yellow Rust in Wheat. Inspect leaves closely for pustules, remove heavily infected leaves, and consider a preventive fungicide spray.","High risk of rapid Stripe/Yellow Rust spread in Wheat. Apply recommended rust-specific fungicide immediately, and if using a susceptible variety, consult your local agricultural office about resistant varieties for the next season.","If pustule density increases rapidly across the Wheat field despite spraying, contact a plant pathologist to check for a new rust strain.","Grow rust-resistant varieties where available, avoid excess nitrogen application, and ensure adequate plant spacing for airflow.","Sulfur-based dusts and neem oil sprays can slow early rust development, though they are less effective once pustules are established.","A systemic triazole or strobilurin-based fungicide, as locally approved, is generally recommended once pustules are confirmed."
7,Wheat,Loose Smut,fungal_smut,Grains replaced by black spore mass,Cool moist conditions at flowering,Conditions currently show low risk for Loose Smut in Wheat. Continue using certified disease-free seed for future planting.,Some risk of Loose Smut in Wheat under current conditions. Rogue out and destroy any smutted heads/grains you notice before spores spread.,"High risk of Loose Smut spread in Wheat. Remove and safely destroy all infected plant parts before spore release, and treat seed with a recommended fungicide before the next sowing.","For recurring smut problems in Wheat across seasons, consult an agricultural extension officer about seed treatment protocols and resistant varieties.",Seed treatment with a recommended fungicide before sowing is the single most effective preventive step for smut diseases.,Hot water seed treatment and Trichoderma-based seed coating are commonly used organic alternatives to chemical seed dressing.,"A systemic seed-dressing fungicide applied before sowing, as per local extension recommendation, substantially reduces smut incidence."
8,Wheat,Ear Cockle,nematode,"Galls in place of grains, twisted leaves","Cool moist soil, nematode-favorable conditions",Low current nematode pressure indicated for Wheat.,Rising conditions favorable for nematode activity affecting Wheat. Consider soil solarization or nematode-resistant varieties for the next planting.,"High nematode pressure indicated for Wheat, risking Ear Cockle damage. Consult your agricultural extension office about approved nematicide use and crop rotation planning.",Persistent nematode issues in Wheat across seasons warrant a soil test and consultation with a nematologist or extension officer.,"Practice crop rotation with non-host crops, use nematode-resistant varieties, and avoid continuous monocropping.",Soil amendment with neem cake or Paecilomyces-based bio-nematicides can reduce nematode populations over time.,"A recommended nematicide applied at sowing, as per local extension guidance, is typically used for severe infestations."
9,Wheat,Powdery Mildew,fungal_blight,White powdery patches on leaves and stems,"Cool humid weather, dense canopy",Conditions are not currently favorable for Powdery Mildew to spread significantly in Wheat. Continue routine field walks weekly and remove any visibly infected plant debris.,"Weather conditions have started favoring Powdery Mildew in Wheat. Improve field drainage and airflow, avoid overhead irrigation, and remove and destroy infected plant parts. Monitor daily.","Conditions are strongly favorable for rapid spread of Powdery Mildew in Wheat. Apply a recommended fungicide as per local agricultural extension guidance without delay, isolate severely affected plants, and consult your nearest Krishi Vigyan Kendra or agricultural officer.",Persistent or worsening Powdery Mildew symptoms in Wheat despite treatment should be reported to a plant pathologist or agricultural extension officer for lab confirmation and updated management advice.,"Use certified disease-free planting material, maintain field sanitation, rotate crops where possible, and avoid dense planting to keep canopy airflow open.","Neem-based sprays, Trichoderma-based bio-fungicides, and copper-based organic fungicides can help suppress early infection when used preventively.",A recommended contact or systemic fungicide (as approved by local extension services) applied at the first sign of symptoms is generally more effective than after severe spread.
10,Rice,Blast,fungal_blight,"Diamond-shaped lesions on leaves, neck rot","High humidity, moderate temperature 25-28C, prolonged leaf wetness",Conditions are not currently favorable for Blast to spread significantly in Rice. Continue routine field walks weekly and remove any visibly infected plant debris.,"Weather conditions have started favoring Blast in Rice. Improve field drainage and airflow, avoid overhead irrigation, and remove and destroy infected plant parts. Monitor daily.","Conditions are strongly favorable for rapid spread of Blast in Rice. Apply a recommended fungicide as per local agricultural extension guidance without delay, isolate severely affected plants, and consult your nearest Krishi Vigyan Kendra or agricultural officer.",Persistent or worsening Blast symptoms in Rice despite treatment should be reported to a plant pathologist or agricultural extension officer for lab confirmation and updated management advice.,"Use certified disease-free planting material, maintain field sanitation, rotate crops where possible, and avoid dense planting to keep canopy airflow open.","Neem-based sprays, Trichoderma-based bio-fungicides, and copper-based organic fungicides can help suppress early infection when used preventively.",A recommended contact or systemic fungicide (as approved by local extension services) applied at the first sign of symptoms is generally more effective than after severe spread.
